"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
"12275","14","1","Preston","-37.75","145.01699829","+10:00","0","PRES"
"42210","14","1","Red Cliffs","-34.31700134","142.18299866","+10:00","0","RCLI"
"6010","14","1","Sale","-38.09999847","147.06700134","+10:00","0","SALE"
"3396","14","1","Shepparton","-36.38299942","145.3999939","+10:00","0","SHEP"
"18679","14","1","Sorrento","-38.31700134","144.73300171","+10:00","0","SORR"
"13453","14","1","South Yarra","-37.83300018","144.98300171","+10:00","0","SYAR"
"17052","14","1","Sunbury","-37.58300018","144.73300171","+10:00","0","SUNB"
"17248","14","1","Sunshine","-37.78300095","144.83299255","+10:00","0","SUNS"
"16988","14","1","Swan Hill","-35.34999847","143.56700134","+10:00","0","SHIL"
"15767","14","1","Traralgon","-38.18299866","146.53300476","+10:00","0","TRAR"
"15899","14","1","Wangaratta","-36.36700058","146.33299255","+10:00","0","WANG"
"12609","14","1","Warrnambool","-38.38299942","142.48300171","+10:00","0","WARR"
"6030","14","1","Wilsons Promontory","-38.65000153","146.18299866","+10:00","0","WPRO"
"15429","14","1","Wodonga","-36.11700058","146.88299561","+10:00","0","WODO"
"14790","14","2","Burnie","-41.06700134","145.91700745","+10:00","0","BURN"
"3371","14","2","Campbell Town","-41.91699982","147.5","+10:00","0","CTOW"
"18717","14","2","Claremont","-42.78300095","147.25","+10:00","0","CLAR"
"12087","14","2","Devonport","-41.16699982","146.3500061","+10:00","0","DEVO"
"6012","14","2","George Town","-41.09999847","146.83299255","+10:00","0","GTOW"
"18727","14","2","Glenorchy","-42.83300018","147.28300476","+10:00","0","GLEN"
"1226","14","2","Hobart","-42.91699982","147.33299255","+10:00","0","HOBA"
"6017","14","2","Launceston","-41.45000076","147.16700745","+10:00","0","LAUN"
"15999","14","2","Penguin","-41.11700058","146.06700134","+10:00","0","PENG"
"6025","14","2","Strahan","-42.15000153","145.33299255","+10:00","0","STRA"
"15650","14","2","Wynyard","-41","145.71699524","+10:00","0","WYNY"
"42045","14","2","Zeehan","-41.88299942","145.33299255","+10:00","0","ZEEH"
"44242","14","3","Abbeywood","-26.10689926","151.6289978","+10:00","0","ABBE"
"44243","14","3","Abbotsford","-24.84370041","152.0249939","+10:00","0","ABBO"
"47544","14","3","ABINGDON DOWNS","-17.86969948","143.70300293","+10:00","0","ADOW"
"44244","14","3","Abington","-25.20319939","152.32899475","+10:00","0","ABIN"
"44245","14","3","Acacia Ridge","-27.58959961","153.02799988","+10:00","0","ARID"
"44246","14","3","Acland","-27.30369949","151.69099426","+10:00","0","ACLA"
"44247","14","3","Adare","-27.51189995","152.29600525","+10:00","0","ADAR"
"44248","14","3","Advancetown","-28.03310013","153.27999878","+10:00","0","ADVA"
"47521","14","3","AEROGLEN","-16.88339996","145.74699402","+10:00","0","AERO"
"44249","14","3","Agnes Water","-24.21249962","151.90299988","+10:00","0","AWAT"
"44250","14","3","Airlie Beach","-20.26790047","148.71600342","+10:00","0","ABEA"
"47461","14","3","AITKENVALE","-19.29529953","146.76699829","+10:00","0","AITK"
"44251","14","3","Albany Creek","-27.34550095","152.96800232","+10:00","0","ACRE"
"44252","14","3","Alderley","-27.42440033","153.00100708","+10:00","0","ALDE"
"44253","14","3","Aldershot","-25.46660042","152.65699768","+10:00","0","ALDR"
"44254","14","3","Aldoga","-23.83530045","151.07099915","+10:00","0","ALDO"
"44255","14","3","Alexandra","-21.16449928","149.1000061","+10:00","0","ALEX"
"44256","14","3","Alexandra Headland","-26.67060089","153.10800171","+10:00","0","AHEA"
"44257","14","3","Alexandra Hills","-27.52280045","153.22000122","+10:00","0","AHIL"
"44258","14","3","Algester","-27.61129951","153.03399658","+10:00","0","ALGE"
